Carimbo de data/hora,Com que frequencia voce procura intencionalmente musicas que ainda nao conhece?,Com que frequencia voce experimenta um genero musical que normalmente nao escuta?,Com que frequencia voce descobre um artista novo e passa a ouvir suas musicas?,"Com que frequencia voce utiliza recomendacoes do Spotify, YouTube ou outros servicos para descobrir musicas?",Com que frequencia voce procura playlists ou selecoes de musicas novas?,Com que frequencia voce escuta novamente uma musica porque gosta muito dela?,Com que frequencia voce volta a ouvir os mesmos artistas durante varias semanas?,Com que frequencia voce adiciona uma musica de que gostou as suas playlists favoritas?,Com que frequencia voce prefere ouvir musicas que ja conhece em vez de experimentar musicas novas?,Com que frequencia voce escuta musicas de um grupo relativamente pequeno de artistas favoritos?,Com que frequencia voce escolhe musicas diferentes dependendo da atividade que esta realizando?,Com que frequencia voce utiliza musicas ou playlists especificas para estudar ou trabalhar?,Com que frequencia voce utiliza musicas ou playlists especificas para praticar exercicios?,Com que frequencia voce escolhe musicas diferentes para momentos de relaxamento?,Com que frequencia seu tipo de musica varia de acordo com seu humor?,Com que frequencia voce escolhe musicas diferentes para viagens ou deslocamentos?,Aproximadamente quantos minutos por dia voce escuta musica? (Digite apenas um número),Em quantos dias da semana voce costuma ouvir musica?,"Em quantas situacoes diferentes voce costuma ouvir musica?    Considere situações como estudar, trabalhar, praticar exercícios, viajar, cozinhar, relaxar etc. (Digite apenas um número)"
04/09/2026 08:34:36,4,5,4,4,5,5,5,5,4,4,4,4,4,4,4,4,120,7,5
04/09/2026 08:34:40,4,2,3,1,1,5,5,5,4,4,5,5,5,5,1,5,no mínimo 10 minutos ,5,em quase todas as situações 
04/09/2026 08:35:26,4,3,4,5,3,5,,5,5,2,,4,5,3,5,3,80,7,10
04/09/2026 08:36:14,3,2,2,3,3,5,5,5,5,4,4,1,5,3,4,5,67,7,"praticar exercícios, relaxar, cozinhar"
04/09/2026 08:37:49,4,2,3,5,3,5,5,5,3,5,3,4,5,1,2,1,180,7,5
04/09/2026 08:38:25,1,2,2,2,2,3,4,2,4,1,2,1,1,1,4,2,0,0,3
04/09/2026 08:39:11,1,2,2,1,1,5,5,3,5,2,1,5,5,1,1,4,180,4,8
04/09/2026 08:40:31,4,2,3,3,3,5,5,4,4,3,4,4,5,3,5,4,180,7,6
04/09/2026 08:40:33,2,2,3,3,2,5,5,4,5,4,4,5,5,5,5,5,330,7,7
04/09/2026 08:41:06,3,2,3,5,4,5,4,5,4,4,3,1,1,1,4,1,40,7,4
04/09/2026 08:41:29,2,2,3,4,2,5,4,4,4,3,5,5,4,3,4,1,45,3,4
04/09/2026 08:41:32,2,2,2,1,2,5,4,4,5,5,2,1,5,1,1,1,70,7,2
04/09/2026 08:42:11,3,1,2,3,2,5,5,4,4,3,4,4,5,5,5,5,100,7,7
04/09/2026 08:45:07,4,3,5,4,3,5,5,5,4,3,3,4,5,5,5,4,199,7,10
04/09/2026 08:45:20,4,2,4,4,2,5,5,5,4,3,4,1,5,3,5,3,180,7,5
04/09/2026 08:46:39,3,3,4,4,4,5,5,5,4,2,5,5,5,5,5,5,350,7,5
